# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
2451.00000000   2.02941941   1.94177417   0.00000890   0.44466876
2461.00000000   2.02933064   1.94174113   0.00000885   0.44464447
2471.00000000   2.02924240   1.94170828   0.00000879   0.44462032
2481.00000000   2.02915470   1.94167563   0.00000874   0.44459631
2491.00000000   2.02906753   1.94164318   0.00000869   0.44457245
2501.00000000   2.02898087   1.94161092   0.00000864   0.44454873
2511.00000000   2.02889474   1.94157884   0.00000859   0.44452515
2521.00000000   2.02880911   1.94154696   0.00000853   0.44450171
2531.00000000   2.02872399   1.94151526   0.00000848   0.44447840
2541.00000000   2.02863937   1.94148374   0.00000843   0.44445523
2551.00000000   2.02855525   1.94145241   0.00000838   0.44443219
2561.00000000   2.02847163   1.94142126   0.00000834   0.44440929
2571.00000000   2.02838848   1.94139028   0.00000829   0.44438651
2581.00000000   2.02830582   1.94135949   0.00000824   0.44436387
2591.00000000   2.02822364   1.94132887   0.00000819   0.44434136
2601.00000000   2.02814193   1.94129842   0.00000815   0.44431897
2611.00000000   2.02806069   1.94126814   0.00000810   0.44429671
2621.00000000   2.02797992   1.94123804   0.00000805   0.44427458
2631.00000000   2.02789960   1.94120811   0.00000801   0.44425257
2641.00000000   2.02781974   1.94117834   0.00000796   0.44423068
2651.00000000   2.02774033   1.94114874   0.00000792   0.44420891
2661.00000000   2.02766136   1.94111930   0.00000787   0.44418727
2671.00000000   2.02758284   1.94109003   0.00000783   0.44416574
2681.00000000   2.02750476   1.94106091   0.00000778   0.44414434
2691.00000000   2.02742711   1.94103196   0.00000774   0.44412305
2701.00000000   2.02734990   1.94100317   0.00000770   0.44410188
2711.00000000   2.02727310   1.94097453   0.00000766   0.44408082
2721.00000000   2.02719674   1.94094605   0.00000761   0.44405988
2731.00000000   2.02712079   1.94091772   0.00000757   0.44403905
2741.00000000   2.02704525   1.94088954   0.00000753   0.44401833
2751.00000000   2.02697013   1.94086152   0.00000749   0.44399773
2761.00000000   2.02689541   1.94083365   0.00000745   0.44397723
2771.00000000   2.02682110   1.94080592   0.00000741   0.44395684
2781.00000000   2.02674718   1.94077834   0.00000737   0.44393657
2791.00000000   2.02667367   1.94075091   0.00000733   0.44391639
2801.00000000   2.02660054   1.94072363   0.00000729   0.44389633
2811.00000000   2.02652781   1.94069648   0.00000725   0.44387637
2821.00000000   2.02645546   1.94066948   0.00000721   0.44385652
2831.00000000   2.02638349   1.94064262   0.00000718   0.44383676
2841.00000000   2.02631191   1.94061590   0.00000714   0.44381712
2851.00000000   2.02624070   1.94058932   0.00000710   0.44379757
2861.00000000   2.02616986   1.94056287   0.00000706   0.44377812
2871.00000000   2.02609939   1.94053657   0.00000703   0.44375878
2881.00000000   2.02602929   1.94051039   0.00000699   0.44373953
2891.00000000   2.02595955   1.94048435   0.00000695   0.44372038
2901.00000000   2.02589017   1.94045845   0.00000692   0.44370133
2911.00000000   2.02582115   1.94043267   0.00000688   0.44368238
2921.00000000   2.02575248   1.94040703   0.00000685   0.44366352
2931.00000000   2.02568416   1.94038151   0.00000681   0.44364476
2941.00000000   2.02561619   1.94035612   0.00000678   0.44362609
2951.00000000   2.02554857   1.94033086   0.00000674   0.44360752
2961.00000000   2.02548128   1.94030573   0.00000671   0.44358903
2971.00000000   2.02541434   1.94028072   0.00000668   0.44357064
2981.00000000   2.02534773   1.94025584   0.00000664   0.44355234
2991.00000000   2.02528146   1.94023107   0.00000661   0.44353413
3001.00000000   2.02521551   1.94020643   0.00000658   0.44351602
3011.00000000   2.02514990   1.94018192   0.00000654   0.44349798
3021.00000000   2.02508461   1.94015752   0.00000651   0.44348004
3031.00000000   2.02501964   1.94013324   0.00000648   0.44346219
3041.00000000   2.02495499   1.94010908   0.00000645   0.44344442
3051.00000000   2.02489066   1.94008503   0.00000642   0.44342674
3061.00000000   2.02482664   1.94006110   0.00000638   0.44340914
3071.00000000   2.02476294   1.94003729   0.00000635   0.44339163
3081.00000000   2.02469954   1.94001359   0.00000632   0.44337420
3091.00000000   2.02463646   1.93999001   0.00000629   0.44335686
3101.00000000   2.02457367   1.93996653   0.00000626   0.44333960
3111.00000000   2.02451119   1.93994317   0.00000623   0.44332242
3121.00000000   2.02444901   1.93991992   0.00000620   0.44330532
3131.00000000   2.02438713   1.93989678   0.00000617   0.44328830
3141.00000000   2.02432554   1.93987375   0.00000614   0.44327136
