# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
33.60000000   0.91898616   2.07227360   0.01749994   0.18388325
33.70000000   0.91723947   2.06812854   0.01742652   0.18232912
33.80000000   0.91550014   2.06396766   0.01735245   0.18077566
33.90000000   0.91376825   2.05979136   0.01727774   0.17922296
34.00000000   0.91204387   2.05560001   0.01720240   0.17767113
34.10000000   0.91032704   2.05139403   0.01712646   0.17612026
34.20000000   0.90861783   2.04717381   0.01704992   0.17457046
34.30000000   0.90691631   2.04293975   0.01697281   0.17302181
34.40000000   0.90522251   2.03869225   0.01689515   0.17147443
34.50000000   0.90353651   2.03443172   0.01681694   0.16992840
34.60000000   0.90185836   2.03015856   0.01673822   0.16838382
34.70000000   0.90018810   2.02587317   0.01665898   0.16684079
34.80000000   0.89852578   2.02157598   0.01657926   0.16529941
34.90000000   0.89687146   2.01726738   0.01649907   0.16375977
35.00000000   0.89522518   2.01294778   0.01641843   0.16222196
35.10000000   0.89358698   2.00861760   0.01633734   0.16068607
35.20000000   0.89195691   2.00427725   0.01625584   0.15915221
35.30000000   0.89033501   1.99992713   0.01617394   0.15762046
35.40000000   0.88872132   1.99556766   0.01609165   0.15609091
35.50000000   0.88711587   1.99119925   0.01600900   0.15456365
35.60000000   0.88551870   1.98682231   0.01592600   0.15303878
35.70000000   0.88392985   1.98243724   0.01584266   0.15151638
35.80000000   0.88234934   1.97804447   0.01575902   0.14999653
35.90000000   0.88077722   1.97364438   0.01567507   0.14847934
36.00000000   0.87921350   1.96923741   0.01559085   0.14696487
36.10000000   0.87765821   1.96482394   0.01550636   0.14545322
36.20000000   0.87611139   1.96040439   0.01542162   0.14394447
36.30000000   0.87457305   1.95597915   0.01533666   0.14243870
36.40000000   0.87304321   1.95154863   0.01525148   0.14093599
36.50000000   0.87152190   1.94711323   0.01516611   0.13943643
36.60000000   0.87000914   1.94267335   0.01508056   0.13794009
36.70000000   0.86850494   1.93822938   0.01499485   0.13644705
36.80000000   0.86700932   1.93378172   0.01490899   0.13495739
36.90000000   0.86552229   1.92933075   0.01482301   0.13347119
37.00000000   0.86404386   1.92487686   0.01473690   0.13198851
37.10000000   0.86257405   1.92042045   0.01465071   0.13050943
37.20000000   0.86111286   1.91596189   0.01456443   0.12903403
37.30000000   0.85966030   1.91150157   0.01447808   0.12756237
37.40000000   0.85821638   1.90703985   0.01439168   0.12609452
37.50000000   0.85678110   1.90257712   0.01430525   0.12463055
37.60000000   0.85535408   1.89858540   0.01423294   0.12317014
37.70000000   0.85393370   1.89484019   0.01416798   0.12171168
37.80000000   0.85251986   1.89107260   0.01410230   0.12025509
37.90000000   0.85111261   1.88728316   0.01403590   0.11880051
38.00000000   0.84971203   1.88347244   0.01396882   0.11734803
38.10000000   0.84831819   1.87964098   0.01390107   0.11589778
38.20000000   0.84693116   1.87578935   0.01383267   0.11444987
38.30000000   0.84555099   1.87191810   0.01376366   0.11300441
38.40000000   0.84417776   1.86802780   0.01369404   0.11156152
38.50000000   0.84281151   1.86411900   0.01362384   0.11012131
38.60000000   0.84145230   1.86019229   0.01355309   0.10868388
38.70000000   0.84010019   1.85624821   0.01348181   0.10724934
38.80000000   0.83875524   1.85228736   0.01341001   0.10581781
38.90000000   0.83741749   1.84831028   0.01333772   0.10438938
39.00000000   0.83608699   1.84431756   0.01326496   0.10296415
39.10000000   0.83476378   1.84030976   0.01319175   0.10154224
39.20000000   0.83344792   1.83628746   0.01311813   0.10012373
39.30000000   0.83214741   1.82538698   0.01284947   0.09871738
39.40000000   0.83087510   1.81399651   0.01257015   0.09733725
39.50000000   0.82963035   1.80277877   0.01229891   0.09598293
39.60000000   0.82841238   1.79173104   0.01203550   0.09465380
39.70000000   0.82722040   1.78085059   0.01177968   0.09334925
39.80000000   0.82605368   1.77013470   0.01153121   0.09206869
39.90000000   0.82491148   1.75958061   0.01128985   0.09081153
40.00000000   0.82379310   1.74918558   0.01105537   0.08957722
40.10000000   0.82269787   1.73894688   0.01082756   0.08836521
40.20000000   0.82162512   1.72886177   0.01060620   0.08717494
40.30000000   0.82057424   1.71892755   0.01039108   0.08600591
40.40000000   0.81954459   1.70914152   0.01018200   0.08485760
40.50000000   0.81853558   1.69950102   0.00997876   0.08372951
40.60000000   0.81754664   1.69000339   0.00978118   0.08262115
40.70000000   0.81657721   1.68064602   0.00958907   0.08153205
40.80000000   0.81562675   1.67142632   0.00940226   0.08046175
40.90000000   0.81469475   1.66234173   0.00922056   0.07940980
41.00000000   0.81378068   1.65338974   0.00904383   0.07837576
41.10000000   0.81288408   1.64456786   0.00887189   0.07735922
41.20000000   0.81200445   1.63587364   0.00870459   0.07635975
41.30000000   0.81114136   1.62730467   0.00854178   0.07537695
41.40000000   0.81029435   1.61885858   0.00838332   0.07441042
41.50000000   0.80946299   1.61053303   0.00822907   0.07345980
41.60000000   0.80864687   1.60232574   0.00807889   0.07252470
41.70000000   0.80784560   1.59423444   0.00793265   0.07160477
41.80000000   0.80705877   1.58625693   0.00779022   0.07069965
41.90000000   0.80628602   1.57839103   0.00765149   0.06980900
42.00000000   0.80552699   1.57063462   0.00751634   0.06893250
