# Time (Myr)  Mass (Me)  Radius (Re)  Mass-loss rate (Me/Myr)  Water Mass fraction
2981.00000000   2.65704103   2.18234898   0.00000054   0.66412261
2991.00000000   2.65703566   2.18234789   0.00000054   0.66412193
3001.00000000   2.65703031   2.18234681   0.00000053   0.66412126
3011.00000000   2.65702498   2.18234573   0.00000053   0.66412058
3021.00000000   2.65701968   2.18234466   0.00000053   0.66411991
3031.00000000   2.65701441   2.18234360   0.00000053   0.66411925
3041.00000000   2.65700917   2.18234254   0.00000052   0.66411858
3051.00000000   2.65700395   2.18234148   0.00000052   0.66411792
3061.00000000   2.65699875   2.18234043   0.00000052   0.66411727
3071.00000000   2.65699358   2.18233939   0.00000052   0.66411661
3081.00000000   2.65698844   2.18233835   0.00000051   0.66411596
3091.00000000   2.65698332   2.18233732   0.00000051   0.66411532
3101.00000000   2.65697823   2.18233629   0.00000051   0.66411467
3111.00000000   2.65697316   2.18233526   0.00000051   0.66411403
3121.00000000   2.65696811   2.18233424   0.00000050   0.66411339
3131.00000000   2.65696309   2.18233323   0.00000050   0.66411276
3141.00000000   2.65695810   2.18233222   0.00000050   0.66411213
3151.00000000   2.65695312   2.18233121   0.00000050   0.66411150
3161.00000000   2.65694818   2.18233021   0.00000049   0.66411087
3171.00000000   2.65694325   2.18232922   0.00000049   0.66411025
3181.00000000   2.65693835   2.18232823   0.00000049   0.66410963
3191.00000000   2.65693347   2.18232724   0.00000049   0.66410901
3201.00000000   2.65692861   2.18232626   0.00000048   0.66410840
3211.00000000   2.65692378   2.18232528   0.00000048   0.66410779
3221.00000000   2.65691897   2.18232431   0.00000048   0.66410718
3231.00000000   2.65691418   2.18232334   0.00000048   0.66410658
3241.00000000   2.65690941   2.18232238   0.00000048   0.66410597
3251.00000000   2.65690466   2.18232142   0.00000047   0.66410537
3261.00000000   2.65689994   2.18232047   0.00000047   0.66410478
3271.00000000   2.65689524   2.18231952   0.00000047   0.66410418
3281.00000000   2.65689056   2.18231857   0.00000047   0.66410359
3291.00000000   2.65688590   2.18231763   0.00000046   0.66410300
3301.00000000   2.65688126   2.18231669   0.00000046   0.66410242
3311.00000000   2.65687665   2.18231576   0.00000046   0.66410183
3321.00000000   2.65687205   2.18231483   0.00000046   0.66410125
3331.00000000   2.65686748   2.18231391   0.00000046   0.66410067
3341.00000000   2.65686292   2.18231299   0.00000045   0.66410010
3351.00000000   2.65685839   2.18231207   0.00000045   0.66409952
3361.00000000   2.65685388   2.18231116   0.00000045   0.66409895
3371.00000000   2.65684938   2.18231025   0.00000045   0.66409838
3381.00000000   2.65684491   2.18230935   0.00000045   0.66409782
3391.00000000   2.65684046   2.18230845   0.00000044   0.66409726
3401.00000000   2.65683602   2.18230755   0.00000044   0.66409670
3411.00000000   2.65683161   2.18230666   0.00000044   0.66409614
3421.00000000   2.65682721   2.18230577   0.00000044   0.66409558
3431.00000000   2.65682284   2.18230489   0.00000044   0.66409503
3441.00000000   2.65681848   2.18230401   0.00000043   0.66409448
3451.00000000   2.65681414   2.18230313   0.00000043   0.66409393
3461.00000000   2.65680982   2.18230226   0.00000043   0.66409338
3471.00000000   2.65680552   2.18230139   0.00000043   0.66409284
3481.00000000   2.65680124   2.18230052   0.00000043   0.66409230
3491.00000000   2.65679698   2.18229966   0.00000043   0.66409176
3501.00000000   2.65679273   2.18229880   0.00000042   0.66409122
3511.00000000   2.65678850   2.18229795   0.00000042   0.66409069
3521.00000000   2.65678429   2.18229710   0.00000042   0.66409016
3531.00000000   2.65678010   2.18229625   0.00000042   0.66408963
3541.00000000   2.65677593   2.18229541   0.00000042   0.66408910
3551.00000000   2.65677177   2.18229457   0.00000041   0.66408857
3561.00000000   2.65676764   2.18229373   0.00000041   0.66408805
3571.00000000   2.65676351   2.18229290   0.00000041   0.66408753
3581.00000000   2.65675941   2.18229207   0.00000041   0.66408701
3591.00000000   2.65675532   2.18229124   0.00000041   0.66408649
3601.00000000   2.65675125   2.18229042   0.00000041   0.66408598
3611.00000000   2.65674720   2.18228960   0.00000040   0.66408547
3621.00000000   2.65674317   2.18228879   0.00000040   0.66408496
3631.00000000   2.65673915   2.18228798   0.00000040   0.66408445
3641.00000000   2.65673514   2.18228717   0.00000040   0.66408394
3651.00000000   2.65673116   2.18228636   0.00000040   0.66408344
3661.00000000   2.65672719   2.18228556   0.00000040   0.66408293
3671.00000000   2.65672324   2.18228476   0.00000039   0.66408244
3681.00000000   2.65671930   2.18228396   0.00000039   0.66408194
3691.00000000   2.65671538   2.18228317   0.00000039   0.66408144
3701.00000000   2.65671147   2.18228238   0.00000039   0.66408095
3711.00000000   2.65670758   2.18228160   0.00000039   0.66408046
3721.00000000   2.65670371   2.18228081   0.00000039   0.66407997
3731.00000000   2.65669985   2.18228003   0.00000038   0.66407948
3741.00000000   2.65669601   2.18227926   0.00000038   0.66407899
3751.00000000   2.65669218   2.18227848   0.00000038   0.66407851
3761.00000000   2.65668837   2.18227771   0.00000038   0.66407803
3771.00000000   2.65668457   2.18227695   0.00000038   0.66407755
3781.00000000   2.65668079   2.18227618   0.00000038   0.66407707
3791.00000000   2.65667702   2.18227542   0.00000038   0.66407659
3801.00000000   2.65667327   2.18227466   0.00000037   0.66407612
3811.00000000   2.65666953   2.18227391   0.00000037   0.66407564
3821.00000000   2.65666581   2.18227315   0.00000037   0.66407517
3831.00000000   2.65666210   2.18227240   0.00000037   0.66407470
3841.00000000   2.65665841   2.18227166   0.00000037   0.66407424
3851.00000000   2.65665473   2.18227091   0.00000037   0.66407377
3861.00000000   2.65665106   2.18227017   0.00000037   0.66407331
3871.00000000   2.65664741   2.18226944   0.00000036   0.66407285
3881.00000000   2.65664377   2.18226870   0.00000036   0.66407239
3891.00000000   2.65664015   2.18226797   0.00000036   0.66407193
3901.00000000   2.65663654   2.18226724   0.00000036   0.66407147
3911.00000000   2.65663295   2.18226651   0.00000036   0.66407102
3921.00000000   2.65662937   2.18226579   0.00000036   0.66407057
3931.00000000   2.65662580   2.18226507   0.00000036   0.66407011
3941.00000000   2.65662225   2.18226435   0.00000035   0.66406967
3951.00000000   2.65661871   2.18226363   0.00000035   0.66406922
